OID,Site_ID,Site,Lat,Long,Urban_1km,Urban_5km,Urban_8km,Urban_10km,Urban_40km
0,1,Boyce Thompson Arboretum,33.295,-111.0946,15.09259987,1.639271975,0.704402626,0.472270042,0.45671159
1,2,Cottonwood,34.738,-112.0353,26.09869957,10.13586426,5.337914944,3.497045994,1.015350342
2,3,Grand Canyon North Rim,36.1954,-112.0374,0.000859107,0.106681488,0.124148212,0.112417951,0.182673886
3,4,Preserve,33.7041,-111.7791,0.000286533,0.54011029,1.563117862,2.714714289,12.5761013
4,5,Patagonia,31.5073,-110.7331,0,0.431729615,0.227662399,0.163853124,0.343101114
5,6,Portal,31.85,-109.1667,0,0.025663069,0.060437027,0.064597279,0.065883189
6,7,Ramsey Canyon,31.424,-110.2238,0.100028999,0.648855329,0.594823658,0.619504809,0.749652505
7,8,Sabino Canyon,32.3656,-110.7774,0,0.004148426,0.705785453,2.284900188,5.247326374
8,9,Santa Rita Mountains,31.7268,-110.8723,0.102916002,0.022832254,0.033068433,0.038237274,0.343101114
9,10,Sevilleta Nat'l Wildlife Refuge,34.3515,-106.8823,2.107539892,0.540890217,0.377090633,0.31585297,0.391320944
