Latitude,Longitude,Site
31.48,-111.16,AtascosaHighlandsAZ
31.5073,-110.7331,PatagoniaAZ
31.85,-109.1667,PortalAZ
31.424,-110.2238,RamseyCanyonAZ
32.3656,-110.7774,SabinoCanyonAZ
31.7268,-110.8723,SantaRitaMountains
33.8,-111.48,SycamoreCreekAZ
33.295,-111.0946,BoyceThompsonArboretum
34.738,-112.0353,Cottonwood
36.0244,-111.8554,GrandCanyonDesertView
35.989,-112.1221,GrandCanyonSouthRim
31.33,-109.07,GuadalupeCanyonAZNM
33.85,-109.1667,PortalAZ
34.08,-109.32,SpringervilleAZ
33.7041,-111.7791,McDowellSonoranPreserve
36.1954,-112.0374,GrandCanyonNorthRim
