Site_Number,Site,Latitude,Longitude,Elevation,Season_Sampled,Number_Years_Sampled,Number_Times_Sampled
1,Cottonwood,34.738,-112.0353,1071,Fall,5,5
2,McDowellSonoranPreserve,33.7041,-111.7791,755,Fall / Spring,8,14
3,GrandCanyonDesertView,36.0244,-111.8554,1832,Spring,1,1
4,GrandCanyonSouthRim,35.989,-112.1221,2061,Fall / Spring,2,3
5,SycamoreCreekAZ,33.8,-111.48,958,Fall,3,3
6,PatagoniaAZ,31.5073,-110.7331,1434,Fall,35,35
7,RamseyCanyonAZ,31.424,-110.2238,1460,Fall,40,40
8,BoyceThompsonArboretum,33.295,-111.0946,1087,Fall,14,14
9,GrandCanyonNorthRim,36.1954,-112.0374,2112,Fall,2,2
10,AtascosaHighlandsAZ,31.48,-111.16,1353,Fall,19,19
11,SabinoCanyonAZ,32.3656,-110.7774,1484,Fall / Spring,25,35
12,PortalAZ,31.85,-109.1667,2000,Fall,18,18
13,SantaRitaMountains,31.7268,-110.8723,1786,Fall,11,11
